date,ccu
2022-05-07,5762124.0
2022-05-08,5547926.0
2022-05-09,3734398.0
2022-05-10,3558457.0
2022-05-11,3406406.0
2022-05-12,3329369.0
2022-05-13,3802450.0
2022-05-14,5610677.0
2022-05-15,5643942.0
2022-05-16,3807870.0
2022-05-17,3475566.0
2022-05-18,3380424.0
2022-05-19,3349278.0
2022-05-20,3824337.0
2022-05-21,5624275.0
2022-05-22,5543909.0
2022-05-23,3682193.0
2022-05-24,3568843.0
2022-05-25,3636589.0
2022-05-26,3734357.0
2022-05-27,4463547.0
2022-05-28,5572132.0
2022-05-29,5429471.0
2022-05-30,4648090.0
2022-05-31,4042689.0
2022-06-01,3912302.0
2022-06-02,3898881.0
2022-06-03,4358197.0
2022-06-04,5311508.0
2022-06-05,5374748.0
2022-06-06,4110506.0
2022-06-07,4093807.0
2022-06-08,4052257.0
2022-06-09,4240585.0
2022-06-10,4461758.0
2022-06-11,5377111.0
2022-06-12,5457290.0
2022-06-13,4465899.0
2022-06-14,4429134.0
2022-06-15,4411653.0
2022-06-16,4827571.0
2022-06-17,5088242.0
2022-06-18,5454931.0
2022-06-19,5378455.0
2022-06-20,5017492.0
2022-06-21,4745335.0
2022-06-22,4681725.0
2022-06-23,4741010.0
2022-06-24,5082952.0
2022-06-25,5454681.0
2022-06-26,5483352.0
2022-06-27,5095487.0
2022-06-28,4995164.0
2022-06-29,5135537.0
2022-06-30,5030370.0
2022-07-01,5054854.0
2022-07-02,5391625.0
2022-07-03,5383033.0
2022-07-04,5168758.0
2022-07-05,5345479.0
2022-07-06,5345790.0
2022-07-07,5389263.0
2022-07-08,5468686.0
2022-07-09,5394928.0
2022-07-10,5446247.0
2022-07-11,5405659.0
2022-07-12,5492299.0
2022-07-13,5416544.0
2022-07-14,5544167.0
2022-07-15,5499763.0
2022-07-16,5610876.0
2022-07-17,5598907.0
2022-07-18,5746255.0
2022-07-19,5725591.0
2022-07-20,5725999.0
2022-07-21,5803767.0
2022-07-22,5823347.0
2022-07-23,5826035.0
2022-07-24,5856070.0
2022-07-25,6001156.0
2022-07-26,5876810.0
2022-07-27,5884756.0
2022-07-28,5856292.0
2022-07-29,5782224.0
2022-07-30,5896881.0
2022-07-31,5910357.0
2022-08-01,5644641.0
2022-08-02,5668907.0
2022-08-03,5449716.0
2022-08-04,5599813.0
2022-08-05,5614574.0
2022-08-06,6031650.0
2022-08-07,6038171.0
2022-08-08,5580950.0
2022-08-09,5461121.0
2022-08-10,5299734.0
2022-08-11,5197210.0
2022-08-12,5349520.0
2022-08-13,6001962.0
2022-08-14,6047583.0
2022-08-15,5417567.0
2022-08-16,5171190.0
2022-08-17,5030021.0
2022-08-18,4991069.0
2022-08-19,5325873.0
2022-08-20,6380082.0
2022-08-21,6468007.0
2022-08-22,5112651.0
2022-08-23,5052278.0
2022-08-24,5131023.0
2022-08-25,5180046.0
2022-08-26,5551017.0
2022-08-27,6657927.0
2022-08-28,6615321.0
2022-08-29,5096378.0
2022-08-30,5056461.0
2022-08-31,4985727.0
2022-09-01,4776313.0
2022-09-02,5326239.0
2022-09-03,6881947.0
2022-09-04,6675035.0
2022-09-05,5987427.0
2022-09-06,4553287.0
2022-09-07,4385605.0
2022-09-08,4180619.0
2022-09-09,4626679.0
2022-09-10,6912874.0
2022-09-11,7147659.0
2022-09-12,4621736.0
2022-09-13,3973611.0
2022-09-14,4070193.0
2022-09-15,4000294.0
2022-09-16,4760748.0
2022-09-17,6991386.0
2022-09-18,6792428.0
2022-09-19,4430114.0
2022-09-20,4040537.0
2022-09-21,3924997.0
2022-09-22,4033217.0
2022-09-23,4695198.0
2022-09-24,6752295.0
2022-09-25,7001396.0
2022-09-26,4560008.0
2022-09-27,4078166.0
2022-09-28,4055460.0
2022-09-29,4048663.0
2022-09-30,4935889.0
2022-10-01,6973649.0
2022-10-02,6949801.0
2022-10-03,4472215.0
2022-10-04,3952457.0
2022-10-05,4262967.0
2022-10-06,4074455.0
2022-10-07,4967282.0
2022-10-08,6846710.0
2022-10-09,6963318.0
2022-10-10,5369104.0
2022-10-11,4226445.0
2022-10-12,4300256.0
2022-10-13,4217706.0
2022-10-14,5067929.0
2022-10-15,6945106.0
2022-10-16,6713139.0
